Receiver           gz_p_th     gz_p_solution       dGz/gz_p_th
  436           49,9723           49,9723       1,57828e-14
  437           50,1322           50,1322       1,47403e-14
  438           50,2787           50,2787       1,35668e-14
  439           50,4121           50,4121       1,24033e-14
  440           50,5328           50,5328         1,153e-14
  441            50,641            50,641       1,01023e-14
  442            50,737            50,737       9,10288e-15
  443            50,821            50,821       7,54989e-15
  444           50,8933           50,8933       6,42225e-15
  445           50,9541           50,9541       5,02011e-15
  446           51,0036           51,0036       3,62212e-15
  447           51,0419           51,0419       2,22732e-15
  448           51,0692           51,0692       8,34801e-16
  449           51,0855           51,0855       5,56356e-16
  450           51,0909           51,0909       1,94704e-15
  451           51,0855           51,0855       3,33813e-15
  452           51,0692           51,0692        4,5914e-15
  453           51,0419           51,0419       6,12514e-15
  454           51,0036           51,0036       7,38355e-15
  455           50,9541           50,9541       8,92465e-15
  456           50,8933           50,8933       1,00522e-14
  457            50,821            50,821       1,16045e-14
  458            50,737            50,737        1,2604e-14
  459            50,641            50,641       1,41713e-14
  460           50,5328           50,5328       1,51859e-14
  461           50,4121           50,4121       1,64908e-14
  462           50,2787           50,2787       1,78064e-14
  463           50,1322           50,1322       1,85671e-14
  464           49,9723           49,9723       1,94797e-14
  465           49,7989           49,7989       2,05463e-14
  466           49,6115           49,6115       2,14832e-14
  467           49,4101           49,4101        2,2146e-14
  468           49,1942           49,1942       2,29653e-14
  469           48,9638           48,9638       2,36539e-14
  470           48,7187           48,7187       2,43563e-14
  471           48,4587           48,4587       2,49269e-14
  472           48,1837           48,1837        2,5659e-14
  473           47,8936           47,8936       2,59627e-14
  474           47,5885           47,5885       2,62785e-14
  475           47,2684           47,2684       2,66068e-14
  476           46,9334           46,9334       2,69481e-14
  477           46,5836           46,5836        2,6998e-14
  478           46,2191           46,2191       2,70571e-14
  479           45,8403           45,8403       2,66607e-14
  480           45,4474           45,4474       2,68911e-14
  481           45,0408           45,0408       2,65029e-14
  482           44,6209           44,6209       2,64338e-14
  483            44,188            44,188       2,60496e-14
  484           43,7428           43,7428       2,53401e-14
  485           43,2856           43,2856       2,49511e-14
  486           42,8171           42,8171       2,45604e-14
  487           42,3379           42,3379       2,38314e-14
  488           41,8485           41,8485       2,30913e-14
  489           41,3497           41,3497       2,23389e-14
  490           40,8421           40,8421       2,15727e-14
  491           40,3264           40,3264        2,0439e-14
  492           39,8033           39,8033       1,96365e-14
  493           39,2736           39,2736        1,8454e-14
  494           38,7379           38,7379       1,74252e-14
